word,part_of_speech
kvinnlig,adj
kvinno-klinik,subst
kvinnosaks-kvinna,subst
kvintett,subst
kvirr,subst
kvist,subst
kvitt,adj
kvittar,ver
kvittens,subst
kvitterar,ver
kvitto,subst
kvittrar,ver
kvm,förk
kvot,subst
kvoterar,ver
kväker,ver
kväljer,ver
kväll,subst
kvälls-kvist(en),subst
kväser,ver
kväve,subst
kväver,ver
kvävs,ver
kyckling,subst
kyckling-mamma,subst
kyffe,subst
kyl,subst
kyla,subst
kylare,subst
kyler,ver
kylig,adj
kyl-skåp,subst
kynne,subst
kypare,subst
kyrka,subst
kyrklig,adj
kyrko-adjunkt,subst
kyrko-bokföring,subst
kyrko-fullmäktige,subst
kyrko-gård,subst
kyrko-herde,subst
kyrko-möte,subst
kyrko-skatt,subst
kyrko-val,subst
kysk,adj
kyss,subst
kysser,ver
kåda,subst
kåk,subst
kål 1,subst
kål 2,subst
kål-rot,subst
kål-supare,subst
kånkar,ver
kåpa,subst
kår,subst
kåre,subst
kåseri,subst
kåsör,subst
kåt,adj
kåta,subst
käck,adj
käft,subst
käftar,ver
kägla,subst
käk,subst
käkar,ver
käke,subst
kälke,subst
källa,subst
källare,subst
källar-mästare,subst
käll-skatt,subst
kämpar,ver
kämpe,subst
kämpig,adj
känd,adj
kände,se känne
kändis,subst
känga,subst
känguru,subst
känn,subst
kännare,subst
kännbar,adj
kännedom,subst
känner,ver
känner igen,ver
känne-tecken,subst
känne-tecknar,ver
känning,subst
känns,ver
känsel,subst
känsla,subst
känslig,adj
känslomässig,adj
känt,se känne
käpp,subst
käpp-häst,subst
kär,adj
kärande,subst
käring,subst
kärl,subst
kärlek,subst
kärleks-krank,adj
kärl-kramp,subst
kärn-,förle
kärna,subst
kärn-familj,subst
kärn-frisk,adj
kärn-mjölk,subst
käromål,subst
kärr,subst
kärra,subst
kärring,se kärin
kärv,adj
kärve,subst
kättare,subst
kätting,subst
käx,subst
kö,subst
köar,ver
kök,subst
köl,subst
köld,subst
köl-vatten,subst
kön,subst
köns-organ,subst
köns-roll,subst
köns-sjukdom,subst
köns-umgänge,subst
köp,subst
köpare,subst
köpe-avtal,se köpekontrak
köpe-kontrakt,subst
köper,ver
köpe-skilling,subst
köping,subst
köp-kraft,subst
köp-man,subst
köp-slår,ver
kör 1,subst
kör 2,subst
kör 3,ver
kör över,ver
kör-bana,subst
körde,se kör ver
kör-kort,subst
körkorts-tillstånd,subst
körsbär,subst
kör-skola,subst
körsnär,subst
kört,se kör ver
körtel,subst
kött,subst
kött-bullar,subst
kött-färs,subst
la,se lägge
labb 1,subst
labil,adj
laborant,subst
laboration,subst
laboratorium,subst
laborerar,ver
labyrint,subst
lack,subst
lackar,ver
lackerar,ver
lacknafta,subst
lada,subst
laddad,adj
laddar,ver
laddar upp,ver
laddning,subst
lade,se lägge
ladu-gård,subst
lag 1,subst
lag 2,subst
lag 3,subst
laga,adj
lagar,ver
lagd,adj
lager 1,subst
lager 2,subst
lager-blad,subst
lager-krans,subst
lagfart,subst
lag-fäster,ver
laglig,adj
lag-lott,subst
lag-man,subst
lagning 1,se matlagnin
lagning 2,subst
lagom,adv
lagrar,ver
lags,subst
lag-stadgad,adj
lag-stiftar,ver
lag-stiftning,subst
lag-stridig,adj
lagt,se lägge
lagård,se ladugår
lakan,subst
lakar ur,ver
lakonisk,adj
lakrits,subst
lam,adj
lamé,subst
lamell,subst
lamm,subst
lamm-kött,subst
lampa,subst
lam-slår,ver
land 1,subst
land 2,subst
land 3,subst
land 4,subst
landar,ver
land-gång,subst
land-krabba,subst
lands-bygd,subst
lands-flykt,subst
lands-hövding,subst
lands-kamp,subst
landskap,subst
lands-lag,subst
lands-man,subst
Landsorganisationen,se L
lands-ort,subst
lands-sorg,subst
land-stiga,ver
lands-ting,subst
landstings-kommun,subst
landstings-val,subst
lands-väg,subst
land-sätter,ver
land-vinning,subst
langar,ver
langare,subst
lans,subst
lanserar,ver
lant-,förle
lant-arbetare,subst
lant-bruk,subst
lant-brukare,subst
Lantbrukarnas riksförbund,subst
lant-gård,subst
lapar,ver
lapp,subst
lappar,ver
Lappland,nam
lapplisa,subst
lapp-sjuka,subst
lapskojs,subst
lapsus,subst
larm,subst
larmar,ver
larv 1,subst
larv 2,subst
larvig,adj
lasagne,subst
lasarett,subst
laser,subst
lass,subst
lassar,ver
lasso,subst
last,subst
lastar,ver
last-bil,subst
lat,adj
latar sig,ver
latent,adj
later,subst
lathund,subst
latin,subst
lat-mask,subst
lat-sidan,subst
lav,subst
lava,subst
lave,subst
lavemang,subst
lavin,subst
lavin-artad,adj
lax,subst
laxer-medel,subst
layout,subst
leasar,ver
leasing,subst
led 1,se lide
led 2,adj
led 3,subst
led 4,subst
leda,subst
ledamot,subst
ledare,subst
ledd,subst
leder,ver
ledig,adj
ledighet,subst
ledning,subst
ledsagar,ver
ledsam,adj
ledsen,adj
led-tråd,subst
leende,subst
leg,subst
legal,adj
legat,se ligge
legation,subst
legend,subst
legering,subst
legitim,adj
legitimation,subst
legitimerad,adj
legitimerar sig,ver
lego,subst
lego-soldat,subst
lejd,subst
lejer,ver
lejon,subst
lejon-parten,subst
lek,subst
lekamen,subst
leker,ver
lekis,subst
lek-kamrat,subst
lek-man,subst
lekotek,subst
lek-plats,subst
lek-sak,subst
lek-skola,subst
lektion,subst
lektor,subst
lektyr,subst
lem,subst
lemlästar,ver
len,adj
ler,ver
lera,subst
ler-gods,subst
lesbisk,adj
letar,ver
lett 1,se lede
lett 2,se le
lett 3,subst
lettisk,adj
levat,se leve
levde,se lever ver
leve,subst
leve-bröd,subst
lever 1,subst
lever 2,ver
lever ut,ver
leverans,subst
leverantör,subst
levererar,ver
levnad,subst
levrar sig,ver
levt,se lever ver
lexikon,subst
libanes,subst
liberal,adj
liberalism,subst
libyer,subst
licens,subst
lidande,subst
lidelse,subst
lider,ver
liderlig,adj
lie,subst
lierar sig,ver
lift,subst
liftar,ver
liga,subst
ligg,subst
ligger,ver
ligger i,ver
ligger över,ver
ligg-vagn,subst
ligist,subst
lik 1,adj
lik 2,subst
lika,adv
lika-berättigad,adj
lika-berättigande,subst
likadan,pron
lika-lydande,adj
likartad,adj
likaså,adv
like,subst
lik-formig,adj
lik-giltig,adj
likhet,subst
likhets-tecken,subst
liknande,adj
liknar,ver
liknelse,subst
liknöjd,adj
liksom 1,adv
liksom 2,konj
liktorn,subst
liktydig,adj
likvid 1,adj
likvid 2,subst
likviderar,ver
likviditet,subst
likväl,adv
likvärdig,adj
likör,subst
lila,adj
lilja,subst
lilla,se lite
lill-finger,subst
lim,subst
limmar,ver
limning,subst
limpa,subst
lin,subst
lina,subst
lind,subst
linda,subst
lindar,ver
lindrar,ver
lindrig,adj
lingon,subst
lingvist,subst
linjal,subst
linje,subst
linje-domare,subst
linjerar,ver
linne,subst
lins,subst
lipar,ver
lip-sill,subst
lirar,ver
lirkar,ver
lisa,subst
lismar,ver
list,subst
lista,subst
listar ut,ver
listig,adj
litar på,ver
lite,adv
liten,adj
liter,subst
litet 1,se lit
litet 2,se lite
litteratur,subst
litterär,adj
liv,subst
livad,adj
live,adj
liv-försäkring,subst
livhanken,subst
livlig,adj
liv-moder,subst
liv-rem,subst
liv-ränta,subst
livs 1,adv
livs 2,subst
livs 3,subst
livs-fara,subst
livs-farlig,adj
livs-föring,subst
livs-kvalitet,subst
livs-medel,subst
Livsmedelsverket,nam
livs-tid,subst
livs-verk,subst
livs-viktig,adj
livs-åskådning,subst
liv-vakt,subst
ljud,subst
ljud-band,subst
ljud-dämpare,subst
ljuder,ver
ljud-lös,adj
ljud-radio,subst
ljuger,ver
ljum,adj
ljummen,adj
ljumske,subst
ljung,subst
ljus 1,adj
ljus 2,subst
ljus-huvud,subst
ljusnar,ver
ljus-punkt,subst
ljus-stake,subst
ljus-år,subst
ljuv,adj
ljuvlig,adj
ljöd,se ljude
ljög,se ljuge
LO,förk
lobby,subst
lock 1,subst
lock 2,subst
lock 3,subst
lockande,adj
lockar,ver
lock-bete,subst
lockig,adj
lockout,subst
lo-djur,subst
lod-rät,adj
loft,subst
loft-gång,subst
log,se le
loge 1,subst
loge 2,subst
logg-bok,subst
logi,subst
logik,subst
logisk,adj
logo,subst
logoped,subst
logo-typ,subst
loj,adj
lojal,adj
lojalitet,subst
lok,subst
lokal 1,adj
lokal 2,subst
lokal skattemyndighet,subst
lokal-bedövning,subst
lokaliserar,ver
lokal-radio,subst
lokal-samtal,subst
lokal-vårdare,subst
lom-hörd,adj
look,subst
lopp,subst
loppa,subst
lopp-marknad,subst
lort,subst
lortig,adj
loska,subst
loss,adv
lossar,ver
lossnar,ver
lossning,subst
lots,subst
lotsar,ver
lott 1,subst
lott 2,subst
lotta,subst
lottad,adj
lottar,ver
lotteri,subst
lott-sedel,subst
lov,subst
lovande,adj
lovar,ver
lovlig,adj
lov-ordar,ver
LP,förk
LRF,förk
Lucia,nam
lucia,subst
lucka,subst
luckrar,ver
ludd,subst
luddig,adj
luden,adj
luder,subst
luffare,subst
lufsar,ver
luft,subst
luftar,ver
luft-bro,subst
luft-förorening,subst
luftig,adj
luft-madrass,subst
luft-ombyte,subst
luft-rör,subst
luft-slott,subst
luft-strupe,subst
luft-värn,subst
lugg,subst
luggar,ver
lugg-sliten,adj
lugn 1,adj
lugn 2,subst
lugnar,ver
lukrativ,adj
lukt,subst
luktar,ver
lummig,adj
lump,subst
lumpen 1,adj
lumpen 2,subst
lunch,subst
lund,subst
lunga,subst
lung-inflammation,subst
lung-säck,subst
lunkar,ver
lunta,subst
lur 1,subst
lur 2,subst
lurar,ver
lurendrejare,subst
lurig,adj
lurvig,adj
lus,subst
luskar ut,ver
lussar,ver
lusse-katt,subst
lust,subst
lusta,subst
lust-gas,subst
lust-gård,subst
lust-hus,subst
lustig,adj
lustig-kurre,subst
lust-spel,subst
lut 1,subst
lut 2,subst
lutar,ver
lut-fisk,subst
lutning,subst
luttrad,adj
luva,subst
lya,subst
lycka,subst
lyckad,adj
lyckas,ver
lycklig,adj
lycklig-gör,ver
lyckligtvis,adv
lycko-kast,subst
lyckta,adj
lyck-träff,subst
lyck-önskan,subst
lyck-önskning,subst
lydde,se lyde
lydelse,subst
lyder,ver
lydig,adj
lydnad,subst
lyft,subst
lyfter,ver
lyft-kran,subst
lyhörd,adj
lykta,subst
lykt-stolpe,subst
lymfa,subst
lymmel,subst
lynchar,ver
lynne,subst
lynnig,adj
lyra,subst
lyrik,subst
lyrisk,adj
lysande,adj
lyser,ver
lysning,subst
lys-rör,subst
lyssnar,ver
lyssnare,subst
lysten,adj
lyster,subst
lystrar,ver
lystring,subst
lyte,subst
lytt,se lyder 
lyx,subst
låda,subst
låg 1,se ligge
låg 2,adj
låga,subst
låglöne-yrke,subst
lågmäld,adj
låg-pris,subst
låg-sko,subst
låg-stadium,subst
låg-tryck,subst
lågvatten-märke,subst
lån,subst
lånar,ver
låne-kort,subst
låne-köp,subst
lång,adj
lång-dragen,adj
lång-finger,subst
lång-franska,subst
lång-fredag,subst
lång-fristig,adj
lång-grund,adj
lång-körare,subst
lång-randig,adj
långsam,adj
lång-sida,subst
lång-siktig,adj
lång-sint,adj
lång-sträckt,adj
lång-synt,adj
lång-sökt,adj
långt,adv
långt-gående,adj
långtids-vård,subst
långtifrån,adv
lång-tradare,subst
lång-tråkig,adj
lång-varig,adj
lång-vård,se långtidsvår
lång-väga,adj
lån-tagare,subst
lår 1,subst
lår 2,subst
lår-ben,subst
lås,subst
låser,ver
låt,subst
låter,ver
låtsas,ver
låtsas om,ver
lä,subst
läbbig,adj
läck,adv
läcka,subst
läcker 1,adj
läcker 2,ver
läder,subst
läge,subst
lägenhet,subst
läger,subst
läger-skola,subst
lägger,ver
lägger av,ver
lägger fram,ver
lägger in,ver
lägger ner,ver
lägger om,ver
lägger sig,ver
lägger ut,ver
läggning,subst
läglig,adj
lägre,se låg adj
lägst,se låg adj
läkare,subst
läkar-intyg,subst
läkar-vård,subst
läkarvårds-taxa,subst
läke-medel,subst
läkemedels-försäkring,subst
läkemedels-kort,subst
läkemedels-rabatt,subst
läker,ver
läktare,subst
lämnar,ver
lämning,subst
lämpad,adj
lämpar sig,ver
lämplig,adj
län,subst
länder,se lan
länga,subst
längd,subst
längd-hopp,subst
länge,adv
längesedan,adv
längre 1,se lån
längre 2,se lång
längre 3,se läng
längs,prep
längst 1,se lån
längst 2,se lång
längst 3,se läng
längtan,subst
längtar,ver
länk,subst
Länkarna,nam
länsar,ver
läns-arbetsnämnd,subst
läns-rätt,subst
läns-skolnämnd,subst
läns-styrelse,subst
länstol,subst
läpp,subst
läppjar,ver
lär 1,ver
lär 2,ver
lär sig,ver
lära,subst
lärare,subst
lärarinna,subst
lärd,adj
lärdom,subst
lärjunge,subst
lärka,subst
lärling,subst
läro-bok,subst
läro-medel,subst
läro-plan,subst
läro-rik,adj
läse-bok,subst
läse-krets,subst
läser,ver
läsk,subst
läskar,ver
läske-dryck,subst
läskig,adj
läsk-papper,subst
läslig,adj
läsning,subst
läspar,ver
läs-år,subst
lät,se låte
läte,subst
lätt-,förle
lätt 1,adj
lätt 2,adv
lättad,adj
lättar,ver
lätthet,subst
lättillgänglig,adj
lättja,subst
lätt-köpt,adj
lättnad,subst
lättnar,ver
lätt-sinnig,adj
lätt-skött,adj
lätt-vindig,adj
lätt-öl,subst
läxa,subst
löd,se lyde
lödder,subst
löddrar,ver
löder,ver
löfte,subst
lögn,subst
lögn-hals,subst
löje,subst
löje-väckande,adj
löjlig,adj
löjtnant,subst
lök,subst
lömsk,adj
lön,subst
lönande,adj
lönar sig,ver
löne-anspråk,subst
löne-avdrag,subst
löne-glidning,subst
löne-grad,subst
löne-klass,subst
löne-lyft,subst
löning,subst
lönlös,adj
lönn,subst
lönn-,förle
lönn-mord,subst
lönsam,adj
lönsamhet,subst
lönt,adj
lön-tagare,subst
löntagar-fond,subst
löpare,subst
löpeld,subst
löper,ver
löpning,subst
löp-sedel,subst
lördag,subst
lös,adj
lösdrivare,subst
lös-egendom,se lös 
lösen,subst
löser,ver
lösning,subst
lösnings-medel,subst
lös-nummer,subst
löss,se lu
lös-öre,subst
löv,subst
löv-biff,subst
m 1,förk
m 2,förk
mack,subst
macka,subst
madonna,subst
madrass,subst
maffia,subst
maffig,adj
mag,se magiste
magasin,subst
mage,subst
mager,adj
magi,subst
magisk,adj
magister,subst
mag-katarr,subst
magnecyl,subst
magnet,subst
magnetiserar,ver
magnetisk,adj
magnifik,adj
magnolia,subst
magrar,ver
mag-stark,adj
mag-sår,subst
mag-säck,se mage 
mahogny,subst
maj,subst
maj:t,förk
maj-blomma,subst
majestät,subst
majonnäs,subst
major,subst
majoritet,subst
majs,subst
maj-stång,subst
mak,subst
maka,subst
makaber,adj
makadam,subst
maka-lös,adj
makar,ver
makaroner,subst
make,subst
make-up,subst
maklig,adj
makrill,subst
makt,subst
makt-faktor,subst
makt-fullkomlig,adj
makt-lysten,adj
maktlös,adj
makt-språk,subst
makulerar,ver
mal 1,subst
mal 2,ver
malaj,subst
malign,adj
mall,subst
mallig,adj
malm,subst
malplacerad,adj
mal-påse,subst
malt,subst
malör,subst
malört,subst
mamma,subst
man 1,pron
man 2,subst
man 3,subst
manar,ver
man-byggnad,subst
manchester,subst
mandarin,subst
mandat,subst
mandel,subst
mandolin,subst
maner,subst
manet,subst
man-fall,subst
mangel,subst
manglar,ver
mangrant,adv
manhaftig,adj
mani,subst
manick,subst
manifest,subst
manifestation,subst
maning,subst
manipulerar,ver
mankemang,subst
mankerar,ver
manlig,adj
manna,subst
manna-gryn,subst
manna-minne,subst
mannekäng,subst
mans,subst
manschett,subst
mans-gris,subst
manskap,subst
manstark,adj
mantals-längd,subst
mantals-skriver,ver
mantals-skrivning,subst
mantel,subst
manual,subst
manuell,adj
manus,subst
manuskript,subst
manöver,subst
manövrerar,ver
mapp,subst
maraton,subst
mardröm,subst
margarin,subst
marginal,subst
marginal-skatt,subst
marginell,adj
marig,adj
marijuana,subst
marin 1,adj
marin 2,subst
marinad,subst
marionett,subst
mark 1,subst
mark 2,subst
markant,adj
markerar,ver
markis,subst
marknad,subst
Marknadsdomstolen,nam
marknads-ekonomi,subst
marknads-för,ver
marknadsförings-lagen,nam
marknads-mässig,adj
marknads-pris,subst
mark-tjänst,subst
marmelad,subst
marmor,subst
marockan,subst
marockansk,adj
mars,subst
marsch,subst
marschall,subst
marscherar,ver
marsipan,subst
marskalk,subst
marsvin,subst
martyr,subst
marxism,subst
marxist,subst
marxistisk,adj
maräng,subst
masar sig,ver
mascara,subst
mask 1,subst
mask 2,subst
maska,subst
maskar,ver
maskara,a-entry>
maskerad,subst
maskerar,ver
maskin,subst
maskinell,adj
maskineri,subst
maskinist,subst
maskin-park,subst
maskin-skrivning,subst
maskning,subst
maskopi,subst
maskot,subst
maskros,subst
maskulin,adj
maskulinum,subst
masochist,subst
mass-,förle
massa,subst
massage,subst
massaker,subst
massakrerar,ver
masserar,ver
massiv 1,adj
massiv 2,subst
mass-medium,subst
massvis,adv
mast,subst
mastig,adj
mastodont-,förle
masturberar,ver
mat,subst
matar,ver
matar-buss,subst
mat-beredare,subst
match,subst
matchar,ver
matematik,subst
matematisk,adj
materia,subst
material,subst
materialism,subst
materialist,subst
materiel,subst
materiell,adj
matiné,subst
matjessill,subst
mat-lagning,subst
mat-nyttig,adj
matros,subst
mat-rätt,se rätt subst
mat-sal,subst
mat-sedel,subst
mat-silver,subst
mat-sked,subst
mat-smältning,subst
mat-säck,subst
matt 1,adj
matt 2,adj
matta,subst
mattas,ver
matte,subst
mat-vana,subst
mat-vrak,subst
mat-vägrare,subst
max,förk
maximal,adj
maximum,subst
mazarin,subst
MBL,förk
med 1,adv
med 2,prep
med 3,subst
medalj,subst
medaljong,subst
medan,konj
med-ansvar,subst
med-arbetare,subst
medbestämmande-lagen,se MB
medborgare,subst
medborgarskap,subst
medborgerlig,adj
meddelande,subst
meddelar,ver
medel,subst
medel-,förle
medel-klass,subst
medel-måtta,subst
medel-måttig,adj
Medelpad,nam
medel-punkt,subst
medelst,prep
Medel-svensson,nam
medel-tal,subst
medel-tid,subst
medel-väg,subst
medel-ålder,subst
medel-ålders,adj
medfaren,adj
medfödd,adj
medföljer,ver
medför,ver
medger,ver
medgivande,subst
medgång,subst
medgörlig,adj
med-hjälpare,subst
medhåll,subst
medhårs,adv
medicin,subst
medicinare,subst
medicinerar,ver
medicinsk,adj
medinflytande,subst
medioker,adj
medister-korv,subst
meditation,subst
mediterar,ver
medium,subst
med-känsla,subst
medlar,ver
medlem,subst
medlidande,subst
medlidsam,adj
medljud,subst
medlöpare,subst
medmänniska,subst
medmänsklig,adj
medryckande,adj
medsols,adv
medtagen,adj
medtävlare,subst
med-verkan,subst
medverkar,ver
medvetande,subst
medveten,adj
medvetet,adv
medvetslös,adj
medvind,subst
medvurst,subst
medömkan,subst
megafon,subst
mej,se mi
mejar,ver
mejeri,subst
mejsel,subst
mejslar,ver
mekaniker,subst
mekanisk,adj
mekanism,subst
mekar,ver
melankoli,subst
melerad,adj
mellan,prep
mellan-gärde,subst
mellan-hand,subst
mellan-havande,subst
mellan-landar,ver
mellan-mål,subst
mellan-rum,subst
mellan-skillnad,subst
mellan-slag,subst
mellan-spel,subst
mellan-stadium,subst
mellan-ting,subst
mellersta,adj
melodi,subst
melodramatisk,adj
melon,subst
memoarer,subst
men 1,konj
men 2,subst
menande,adj
menar,ver
men-ed,subst
menig,subst
mening,subst
meningit,subst
meningsfull,adj
meningslös,adj
menings-skiljaktighet,subst
menisk,subst
menlig,adj
menlös,adj
mens,subst
menstruation,subst
mental,adj
mentalitet,subst
mental-sjuk,adj
mental-vård,subst
meny,subst
mer 1,adj
mer 2,adv
mera,se me
meridian,subst
merit,subst
meriterar,ver
merit-förteckning,subst
merpart,subst
mersmak,subst
mervärde-skatt,se mom
mes,subst
mesost,subst
mest 1,adj
mest 2,adv
mesta,se mest adj
mestadels,adv
metafor,subst
metafysisk,adj
Metall,nam
metall,subst
metall-arbetare,subst
metar,ver
meteorolog,subst
meteorologi,subst
meter,subst
metod,subst
metodisk,adj
metodist,subst
metropol,subst
mexikan,subst
mg,förk
middag,subst
midja,subst
midnatt,subst
midsommar,subst
mig,pron
migrän,subst
mikro-,förle
mikrofon,subst
mikroskop,subst
mikrovågs-ugn,subst
mil,subst
mild,adj
mildrar,ver
militant,adj
militär 1,adj
militär 2,subst
militär-tjänst,subst
militär-tjänstgöring,se militärtjäns
miljard,subst
miljon,subst
miljö,subst
Miljöpartiet,nam
milkshake,subst
milli-,förle
milli-liter,subst
milli-meter,subst
millimeter-rättvisa,subst
mil-stolpe,subst
mimik,subst
min 1,förk
min 2,pron
min 3,subst
mina,subst
mindervärdes-komplex,subst
minder-årig,adj
mindre 1,adj
mindre 2,adv
mineral,subst
mineral-vatten,subst
mini-,förle
miniatyr,subst
minimal,adj
minimum,subst
mini-räknare,subst
minister,subst
ministär,subst
mink,subst
minne,subst
minnes-beta,subst
minnes-märke,subst
minns,ver
minoritet,subst
minsann,adv
minskar,ver
minskning,subst
minspel,subst
minst 1,adj
minst 2,adv
minus 1,adv
minus 2,subst
minut 1,subst
minut 2,subst
minutiös,adj
mirakel,subst
mischmasch,subst
miss-,förle
miss,subst
missanpassad,adj
missar,ver
missbelåten,adj
missbildad,adj
missbruk,subst
missbrukar,ver
missbrukare,subst
missfall,subst
missfoster,subst
missförhållande,subst
missförstånd,subst
missförstår,ver
missgrepp,subst
missgynnar,ver
missgärning,subst
misshandel,subst
misshandlar,ver
missil,subst
mission,subst
missköter,ver
missleder,ver
misslyckad,adj
misslyckande,subst
misslyckas,ver
missminner sig,ver
missmodig,adj
missnöjd,adj
missnöje,subst
missriktad,adj
missräknar sig,ver
misstag,subst
misstanke,subst
misstar sig,ver
misstro,subst
misstroende,subst
misstroende-förklaring,subst
misstror,ver
misströstar,ver
misstycker,ver
misstänker,ver
misstänksam,adj
misstänkt,adj
missunnar,ver
missuppfattar,ver
missuppfattning,subst
missvisande,adj
missväxt,subst
missöde,subst
miste,adv
mister,ver
misär,subst
mitella,subst
mitt 1,se min pron
mitt 2,adv
mitt 3,subst
mittemot,se mitt adv
mitten-partierna,subst
mix,subst
mixer,subst
mjugg,subst
mjuk,adj
mjukar upp,ver
mjuk-landar,ver
mjuknar,ver
mjuk-vara,subst
mjäll,subst
mjälte,subst
mjöl,subst
mjölk,subst
mjölkar,ver
mjölk-tand,subst
mkr,förk
mm 1,förk
mm 2,förk
mobb,subst
mobbar,ver
mobiliserar,ver
mobil-telefon,subst
mocka,subst
mockar,ver
mod,subst
modd,subst
mode,subst
mode-lejon,subst
modell,subst
modem,subst
moder,se mo
moderat 1,adj
moderat 2,subst
Moderata samlingspartiet,nam
moder-bolag,subst
modern,adj
moderniserar,ver
moders-mjölk,subst
moders-mål,subst
mod-fälld,adj
modifierar,ver
modifikation,subst
modig,adj
modul,subst
mogen,adj
mognar,ver
mojnar,ver
mojäng,subst
molar,ver
molekyl,subst
moll,subst
moln,subst
moloken,adj
mom,förk
momangen,subst
moment,subst
moms,subst
monarki,subst
mongolism,subst
mongoloid,adj
monitor,subst
mono-,förle
monogami,subst
monogram,subst
monolog,subst
monopol,subst
monoton,adj
monster,subst
montage,subst
monter,subst
monterar,ver
montör,subst
monument,subst
moped,subst
mopedist,subst
mops,subst
mor,subst
moraklocka,subst
moral,subst
moraliserar,ver
moralisk,adj
moralkaka,subst
mor-bror,subst
mord,subst
mor-far,subst
morfin,subst
mor-föräldrar,subst
morgon 1,subst
morgon 2,subst
morgon-dag,subst
morgon-luft,subst
morgon-samling,subst
mor-mor,subst
morot,subst
morrar,ver
mors,interj
morsa,subst
morse,subst
morse-alfabet,subst
morsk,adj
mortel,subst
morötter,se moro
mos,subst
mosaik,subst
mosaisk,adj
mosar,ver
moské,subst
mossa,subst
mosse,subst
moster,subst
mot,prep
motar,ver
motarbetar,ver
motbild,subst
motbjudande,adj
motbok,subst
motell,subst
motgift,subst
motgång,subst
motion,subst
motiv,subst
motivation,subst
motiverad,adj
motiverar,ver
motor,subst
motor-cykel,subst
motor-fordon,subst
motor-förare,subst
motortrafik-led,subst
motor-väg,subst
motpart,subst
motpol,subst
motsats,subst
motsatt,adj
motsols,adv
motspänstig,adj
motstridig,adj
motsträvig,adj
motstycke,subst
motstånd,subst
motståndare,subst
motstånds-kraft,subst
motstånds-kraftig,adj
motstår,ver
motsvarande,adj
motsvarar,ver
motsvarighet,subst
motsägande,adj
motsägelse,subst
motsäger,ver
motsätter sig,ver
motsättning,subst
mott,subst
mottagande,subst
mottagare,subst
mottaglig,adj
mottagning,subst
mottagnings-bevis,subst
mottar,ver
motto,subst
motverkar,ver
motvikt,subst
motvilja,subst
motvillig,adj
motvilligt,adv
motvind,subst
motvärn,subst
mot-åtgärd,subst
mousse,subst
MS,förk
msk,förk
muckar,ver
muddrar,ver
muffin,subst
mugg,subst
muhammedan,subst
mulatt,subst
mule,subst
mulen,adj
mull,subst
mullig,adj
mullrar,ver
mullvad,subst
mulnar,ver
multi-,förle
multi-lateral,adj
multi-nationell,adj
multipel skleros,se M
multiple choice-,subst
multiplicerar,ver
multiplikation,subst
multnar,ver
mumie,subst
mumlar,ver
mummel,subst
mums,interj
mumsar,ver
mun,subst
mun-mot-mun-metoden,subst
mundering,subst
mungiga,subst
mungipa,subst
munhuggs,ver
munk,subst
munkavle,subst
mun-korg,subst
munsbit,subst
mun-skydd,subst
mun-spel,subst
mun-stycke,subst
munter,adj
muntergök,subst
munterhet,subst
muntlig,adj
muntrar upp,ver
mur,subst
murar,ver
murare,subst
mur-bruk,subst
murgröna,subst
murken,adj
murkla,subst
murvel,subst
mus,subst
museum,subst
musik,subst
musikal,subst
musikalisk,adj
musikant,subst
musik-direktör,subst
musiker,subst
muskel,subst
muskulatur,subst
muskulös,adj
muslim,subst
mussla,subst
must,subst
mustasch,subst
mustig,adj
muta,subst
mutar,ver
mutkolv,subst
mutter,subst
muttrar,ver
mycket 1,adv
mycket 2,adj
mygel,subst
mygg,subst
mygga,subst
myglar,ver
mylla,subst
myller,subst
myllrar,ver
myndig,adj
myndighet,subst
mynnar,ver
mynning,subst
mynt,subst
mynta,subst
myntar,ver
myr,subst
myra,subst
myser,ver
mysig,adj
mysli,subst
mysterium,subst
mystisk,adj
myt,subst
myteri,subst
mytologi,subst
må,ver
måfå,subst
måg,subst
måhända,adv
mål,subst
målande,adj
målar,ver
målare,subst
mål-brott,subst
mållös,adj
mål-medveten,adj
målning,subst
måls-man,subst
måls-ägande,subst
mål-sättning,subst
mål-tavla,subst
mål-tid,subst
mån 1,adj
mån 2,subst
månad,subst
månads-lön,subst
månar om,ver
månatlig,adj
måndag,subst
månde,ver
måne,subst
många,pron
mången,adj
mångfald,subst
mång-sidig,adj
mång-tydig,adj
månne,adv
mår,ver
mås,subst
måste 1,subst
måste 2,ver
mått,subst
måtta,subst
mått-band,subst
måtte,se m
måttlig,adj
måtto,subst
mäklare,subst
mäkta,adv
mäktar,ver
mäktig,adj
män,se man subst
mängd,subst
människa,subst
mänsklig,adj
mänsklighet,subst
märg,subst
märkbar,adj
märke,subst
märker,ver
märklig,adj
märk-värdig,adj
märr,subst
mässa,subst
mässing,subst
mässings-instrument,subst
mässling,subst
mästare,subst
mästerskap,subst
mäster-verk,subst
mästrar,ver
mät,subst
mätare,subst
mäter,ver
mätning,subst
mätt,adj
mättad,adj
mättar,ver
mättnad,subst
mö,subst
möbel,subst
möblemang,subst
möblerar,ver
möblerar om,ver
möda,subst
möderne,subst
mödoms-hinna,subst
mödosam,adj
mödrar,se mode
mödra-undervisning,subst
mödravårds-central,subst
mögel,subst
möglar,ver
möglig,adj
mö-hippa,subst
möjlig,adj
möjligen,adv
möjlig-gör,ver
