word,part_of_speech
attaché-väska,subst
attack,subst
attackerar,ver
attentat,subst
attest,subst
attesterar,ver
attiralj,subst
attityd,subst
attraherar,ver
attraktion,subst
attraktiv,adj
attribut,subst
au pair,subst
audiens,subst
audio-visuell,adj
auditorium,subst
augusti,subst
auktion,subst
auktoriserar,ver
auktoritet,subst
auktoritär,adj
aula,subst
auskulterar,ver
australisk,adj
autentisk,adj
autograf,subst
automat,subst
automatiserar,ver
automatisk,adj
automat-låda,subst
autonom,adj
autoritär,se auktoritä
av 1,adv
av 2,prep
avancerad,adj
avancerar,ver
avantgarde,subst
avart,subst
avbalkar,ver
avbalkning,subst
avbeställer,ver
avbeställnings-sedel,subst
avbetalning,subst
avbetalnings-kontrakt,subst
avbetalnings-köp,se avbetalnin
avbild,subst
avbildar,ver
avbrott,subst
avbruten,se avbryte
avbryter,ver
avbräck,subst
avbröt,se avbryte
av-bytare,subst
avböjer,ver
avbön,subst
avd,se avdelnin
avdankad,adj
avdelar,ver
avdelning,subst
avdrag,subst
avdrags-gill,adj
avdramatiserar,ver
avdunstar,ver
avel,subst
aveny,subst
aversion,subst
avfall,subst
avfart,subst
avfolkas,ver
avfyrar,ver
avfälling,subst
avfärd,subst
avfärdar,ver
avföring,subst
avgas,subst
avger,ver
avgick,se avgå
avgift,subst
avgifts-fri,adj
avgjord,adj
avgjorde,se avgö
avgjort,se avgö
avgrund,subst
avgränsar,ver
avgudar,ver
avgång,subst
avgångs-betyg,subst
avgångs-bidrag,se AG
avgår,ver
avgör,ver
avgörande 1,adj
avgörande 2,subst
avhandling,subst
avhjälper,ver
AV-hjälpmedel,subst
avhopp,subst
avhoppare,subst
avhyser,ver
avhåller,ver
av-hållsam,adj
avi,subst
avig,adj
avig-sida,subst
aviserar,ver
avkall,subst
avkastning,subst
avklarar,se klara
avklädning,se klä
avkomling,subst
avkomma,subst
avkoppling,subst
avkrok,subst
avkräver,ver
avkunnar,ver
avlade,se avlägge
avlagt,se avlägge
avlar,ver
avlastar,ver
avlat,subst
avled,se avlide
avleder,ver
avlelse,subst
avlider,ver
avlivar,ver
avlopp,subst
avlossar,ver
avlyssnar,ver
avlång,adj
avlägger,ver
avlägsen,adj
avlägsnar,ver
avlämnar,ver
avläser,ver
avlönar,ver
avlöning,subst
avlöper,ver
avlöser,ver
avmagrad,adj
avmätt,adj
avnjuter,ver
av-nämare,subst
avog,adj
avokado,subst
avpassad,adj
avpassar,ver
avreagerar sig,ver
avregistrerar,ver
avresa,subst
avrundar,ver
avrustar,ver
avråder,ver
avrättar,ver
avsaknad,subst
avsats,subst
avseende,subst
avser,ver
avsevärd,adj
avsevärt,adv
avsides,adv
avsikt,subst
avsiktlig,adj
avskaffar,ver
avsked,subst
avskedar,ver
avskild,adj
avskiljer,ver
avskrift,subst
avskrivning,subst
avskräckande,adj
avskräcker,ver
avskräde,subst
avskum,subst
avsky,subst
avskyr,ver
avskyvärd,adj
avskärmar,ver
avslag,subst
avslagen,adj
avslagit,se avslå
avslog,se avslå
avslutar,ver
avslutning,subst
avslår,ver
avslöjar,ver
avsmak,subst
avsnitt,subst
avspeglar,ver
avspelning,subst
avspisar,ver
avspänd,adj
avspänning,subst
avspärrar,ver
avstamp,subst
avstavar,ver
avsteg,subst
avstickare,subst
avstyr,ver
avstyrker,ver
avstånd,subst
avstår,ver
avställning,subst
avstänger,se stänger a
avsynar,ver
avsåg,se avse
avsäger sig,ver
avsändare,subst
avsätter,ver
avsättning,subst
avsöndrar,ver
avtackar,ver
avtags-väg,subst
avtal,subst
avtalar,ver
avtals-enlig,adj
avtals-förhandling,subst
Avtalsverket,se Statens avtalsver
avtar,ver
avtecknar sig,ver
avtjänar,ver
avtrubbar,ver
avtryckare,subst
avträder,ver
avtågar,ver
avund,subst
avundas,ver
avund-sjuk,adj
avund-sjuka,subst
avvaktar,ver
avvarar,ver
avvecklar,ver
avverkar,ver
avvikelse,subst
avviker,ver
avvisar,ver
avvisning,subst
avvägar,subst
avväger,ver
avvänjer,ver
avvänjning,se vänje
avväpnande,adj
avväpnar,ver
avvärjer,ver
avyttrar,ver
ax,subst
axel,subst
axiom,subst
axlar,ver
ax-plock,subst
ayatolla,subst
azalea,subst
B-skatt,subst
babblar,ver
babord,subst
baby,subst
bacill,subst
back 1,adv
back 2,subst
backar,ver
backar upp,ver
backe,subst
back-spegel,subst
bacon,subst
bad 1,se be
bad 2,subst
badar,ver
bad-byxa,subst
baddar,ver
baddare,subst
bad-dräkt,subst
bad-kar,subst
badminton,subst
bad-ort,subst
bad-rum,subst
bag,subst
bagage,subst
bagare,subst
bagatell,subst
bageri,subst
bagett,subst
bagge,subst
bajonett,subst
bajonett-fattning,subst
bajs,subst
bajsar,ver
bak 1,adv
bak 2,subst
bak 3,subst
bakar,ver
bak-binder,ver
bakelse,subst
bakerst,adv
bak-ficka,subst
bak-foten,subst
bak-fram,adv
bak-full,adj
bak-grund,subst
bak-håll,subst
bak-ifrån,adv
bak-lås,subst
bak-länges,adv
bak-läxa,subst
bakom 1,prep
bakom 2,adj
bakom 3,adv
bak-plåt,subst
bak-pulver,subst
bakre,adj
bak-rus,subst
bak-sida,subst
bak-slag,subst
bak-smälla,subst
bak-säte,subst
bak-talar,ver
bak-tanke,subst
bakterie,subst
bak-till,adv
bak-verk,subst
bak-vänd,adj
bak-åt,adv
bal 1,subst
bal 2,subst
balans,subst
balanserar,ver
balett,subst
balja,subst
balk,subst
balkong,subst
ballad,subst
ballast,se barlas
ballerina,subst
ballong,subst
balsam,subst
balsamerar,ver
balt,subst
baltisk,adj
balustrad,subst
bambu,subst
bana,subst
banal,adj
banan,subst
banar,ver
ban-brytande,adj
banbrytare,subst
band 1,se binde
band 2,subst
bandage,subst
bandar,ver
banderoll,subst
bandit,subst
band-spelare,subst
band-vagn,subst
bandy,subst
bane-man,subst
baner,subst
bang,subst
ban-gård,subst
ban-hoppning,subst
bank 1,subst
bank 2,subst
bankar,ver
bank-bok,subst
bankett,subst
bank-fack,subst
bank-giro,subst
bankir,subst
bank-man,subst
bankomat,subst
bankrutt 1,adj
bankrutt 2,subst
bann,subst
bann-bulla,subst
bann-lyser,ver
bannor,subst
bantar,ver
baptist,subst
bar 1,se bär ver
bar 2,adj
bar 3,subst
bara 1,adv
bara 2,konj
barack,subst
bar-backa,adv
barbarisk,adj
barberare,subst
bard,subst
bar-fota,adj
bar-huvad,adj
bark,subst
barkass,subst
barkis,subst
barlast,subst
barm,subst
